split,file,classes,reasons,recommendation,width,height,brightness_mean,contrast_std,blur_laplacian_var
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160350530512165_1_jpg.rf.22ff2ad64f4a88eef56a2e7748388ffa.jpg,Telur Rebus,possibly_blurry,review_delete_or_replace,512,512,137.68,30.47,57.65
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160662753019221_0_jpeg_jpg.rf.f59d99e796f2d1fd686bb59163368daf.jpg,Telur Rebus,possibly_blurry,review_delete_or_replace,512,512,163.86,51.46,56.73
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160681604046610_1_jpg.rf.8e92174e4c5fd0c4450d4f31cf676ae3.jpg,Telur Rebus,possibly_blurry,review_delete_or_replace,512,512,132.65,51.00,22.04
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160854077779384_1_jpg.rf.32820e25ef407b80ac397d33623b102c.jpg,Telur Rebus,possibly_blurry,review_delete_or_replace,512,512,112.45,49.33,51.76
train,data_output\yolo_roboflow_only\images\train\1003_jpg.rf.505b9324a21074a5bd70f148a8d3fc1d.jpg,Pisang,low_resolution,review_delete_or_replace,244,179,207.79,44.59,744.09
train,data_output\yolo_roboflow_only\images\train\1004_jpg.rf.78368b7be42a08bd4a3147e1c0a4ae60.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,202,300,236.31,33.19,295.22
train,data_output\yolo_roboflow_only\images\train\1008_jpg.rf.13d6527bc5043c5a8be35b15742dffb8.jpg,Pisang,low_resolution,review_delete_or_replace,263,175,89.50,27.73,165.77
train,data_output\yolo_roboflow_only\images\train\1013_jpg.rf.9b04f10a3fcf9d318fc7183b7506818a.jpg,Pisang,low_resolution,review_delete_or_replace,231,174,219.36,48.93,325.45
train,data_output\yolo_roboflow_only\images\train\1015_jpg.rf.b63ab8130a251e4937a7c674f2ad2a33.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,347,174,224.37,46.88,172.28
train,data_output\yolo_roboflow_only\images\train\1018_jpg.rf.f56eea0c436e7f0941841ce31745b56f.jpg,Pisang,low_resolution,review_delete_or_replace,258,184,208.42,51.81,298.34
train,data_output\yolo_roboflow_only\images\train\1026_jpg.rf.ae62d741e66751176490309936a21a75.jpg,Pisang,low_resolution,review_delete_or_replace,238,170,214.80,50.59,311.31
train,data_output\yolo_roboflow_only\images\train\1038_jpg.rf.dd11b986ffd12c22f7269f3efe4c54b3.jpg,Pisang,too_bright,review_delete_or_replace,300,300,244.58,22.15,110.89
train,data_output\yolo_roboflow_only\images\train\1042_jpg.rf.6936a2e1a6a7af9b1d93175ffc64ba37.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,284,160,221.52,51.94,871.25
train,data_output\yolo_roboflow_only\images\train\1044_jpg.rf.ae951c161b27a147c2639d2b8e50cdb0.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,213,160,232.32,40.11,364.78
train,data_output\yolo_roboflow_only\images\train\1046_jpg.rf.4ebfa7f25c8da6c6d4571a3e4c8ab260.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,240,160,234.20,31.10,518.89
train,data_output\yolo_roboflow_only\images\train\1048_jpg.rf.6f104d79faf061e6157f44e3cddb6eee.jpg,Pisang,low_resolution,review_delete_or_replace,218,160,208.70,56.68,2652.07
train,data_output\yolo_roboflow_only\images\train\1061_jpg.rf.913ae262d38fbb8b5da96fd89497f937.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,229,189,222.31,41.21,254.37
train,data_output\yolo_roboflow_only\images\train\1080_jpg.rf.00b042ff3ff0a803e1566da309d8db2a.jpg,Pisang,low_resolution,review_delete_or_replace,255,170,145.14,53.09,1682.04
train,data_output\yolo_roboflow_only\images\train\10919_jpg.rf.15fc2557eb8361effad35b9dfbd7ddef.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,156.56,38.59,12.90
train,data_output\yolo_roboflow_only\images\train\10_jpg.rf.77729f06a4102b150a377c1a387ee2c7.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,480,360,104.01,48.03,59.67
train,data_output\yolo_roboflow_only\images\train\1108_jpg.rf.cc895d28b6c7ad5ce56c99bd4a210838.jpg,Pisang,low_resolution,review_delete_or_replace,234,176,111.16,66.48,1017.85
