split,file,label_file,sha1,classes,class_ids,class_count,width,height,brightness_mean,contrast_std,blur_laplacian_var,dhash
train,data_output\yolo_roboflow_only\images\train\011119f4_jpg.rf.b5106f5de2d9e7dc0c1c29f8a77779b4.jpg,data_output\yolo_roboflow_only\labels\train\011119f4_jpg.rf.b5106f5de2d9e7dc0c1c29f8a77779b4.txt,c0398d8a220fb028358dec8adb3b7d56aa4446b5,Stroberi,22,1,640,480,106.59255533854167,70.6454704011291,215.59176635742188,18246677706533003363
train,data_output\yolo_roboflow_only\images\train\016820800_1558764533-shutterstock_515903245-jpg_jpg.rf.c65b4f1218956c8e056e06f088303fd5.jpg,data_output\yolo_roboflow_only\labels\train\016820800_1558764533-shutterstock_515903245-jpg_jpg.rf.c65b4f1218956c8e056e06f088303fd5.txt,da90097cc7810bd75b1f1d34fcb131d18b57b7ba,Ikan Goreng,7,1,416,416,105.91969651442308,62.39567008850551,1219.8690185546875,3688862441064954941
train,data_output\yolo_roboflow_only\images\train\03d815c5_jpg.rf.d58dd71a1c20fcf271710490d855b163.jpg,data_output\yolo_roboflow_only\labels\train\03d815c5_jpg.rf.d58dd71a1c20fcf271710490d855b163.txt,1279834e8751433e39e20c8dc89f09031a822d82,Stroberi,22,1,640,480,95.72474934895833,76.86300572569665,301.1754455566406,17795963962633875808
train,data_output\yolo_roboflow_only\images\train\05-resep_ayam_goreng_bumbu_kuning_-_cara_membuat_jpg.rf.87f3f5cab83292ed142aacfb810ef2a2.jpg,data_output\yolo_roboflow_only\labels\train\05-resep_ayam_goreng_bumbu_kuning_-_cara_membuat_jpg.rf.87f3f5cab83292ed142aacfb810ef2a2.txt,1f6ee24d196be89957c2b17272ed367ea03cb0ab,Ayam Goreng,1,1,416,416,102.54892635909763,61.88332781114874,273.9261474609375,1226598076428785996
train,data_output\yolo_roboflow_only\images\train\069244600_1585909700-fried-2509089_1920_jpg.rf.312bebf96c0fda6b430a150d0c7e37d7.jpg,data_output\yolo_roboflow_only\labels\train\069244600_1585909700-fried-2509089_1920_jpg.rf.312bebf96c0fda6b430a150d0c7e37d7.txt,08b9c862aea4568b64fbbb5adff4ce03e4a2628b,Nasi Goreng,12,1,673,379,185.58584999235495,63.229527312162595,807.6741943359375,15604699047666589580
train,data_output\yolo_roboflow_only\images\train\079979700_1587487794-Sajiku_1_jpg.rf.a324ae500f43c1876f0b9349047ef0b6.jpg,data_output\yolo_roboflow_only\labels\train\079979700_1587487794-Sajiku_1_jpg.rf.a324ae500f43c1876f0b9349047ef0b6.txt,ca72a5dc790048b3f828ab479c8229d040706aaa,Nasi Goreng|Telur Goreng,12|24,2,1200,675,211.7110037037037,57.40621763464334,110.49893188476562,217868259897577231
train,data_output\yolo_roboflow_only\images\train\09144f82_jpg.rf.f304342a5870d1aaf4eda51e7c4f3b93.jpg,data_output\yolo_roboflow_only\labels\train\09144f82_jpg.rf.f304342a5870d1aaf4eda51e7c4f3b93.txt,3fd42dca5d8cdcc57f0738c8b019d46d95e3c175,Stroberi,22,1,640,480,95.67107096354167,79.13734932155675,299.7591857910156,3745299365069648737
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160279402259924_jpg.rf.c6dada40738609e80f3af63171f78eb8.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160279402259924_jpg.rf.c6dada40738609e80f3af63171f78eb8.txt,6cbf549880916ac0da537043fa92fc19eabb23ba,Telur Rebus,25,1,512,512,134.45378494262695,62.833484453652716,95.53907775878906,9875303448317402140
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160300997865708_1_jpg.rf.dffcc3ad16f0aa27ce4386c60cd46983.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160300997865708_1_jpg.rf.dffcc3ad16f0aa27ce4386c60cd46983.txt,2ce924a4e56ddfac04e1fc8431d0880aecd789a4,Telur Rebus,25,1,512,512,120.2548599243164,58.78989866542425,155.73634338378906,16346291698799309607
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160324185943781_1_jpeg_jpg.rf.c40587b706f69ac2fe7dddc0368247ff.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160324185943781_1_jpeg_jpg.rf.c40587b706f69ac2fe7dddc0368247ff.txt,42cc3b4afc4aa3fb78974b42e77baed45bd30e7b,Telur Rebus,25,1,512,512,138.76957321166992,55.70439472461835,237.00828552246094,2214125311735601004
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160336916731441_1_jpg.rf.04baf5866aa738e4d1cb776d7ca81658.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160336916731441_1_jpg.rf.04baf5866aa738e4d1cb776d7ca81658.txt,edecfe0485750e3962cb5fcb3c97727a507fe993,Telur Rebus,25,1,512,512,118.87090301513672,29.817289985654572,127.58055877685547,17507970971102945167
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160350519541639_0_jpg.rf.97abdf52d5a6811589daeacb4b42a5a6.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160350519541639_0_jpg.rf.97abdf52d5a6811589daeacb4b42a5a6.txt,6c61a274f254261bf62f17f656f19b8422249d0a,Telur Rebus,25,1,512,512,115.47757339477539,43.697375758395665,364.23480224609375,11075658281300319433
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160350530512165_1_jpg.rf.22ff2ad64f4a88eef56a2e7748388ffa.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160350530512165_1_jpg.rf.22ff2ad64f4a88eef56a2e7748388ffa.txt,94e7a30ba9b7dbf920fc36ad82edbfd5b4fdc05b,Telur Rebus,25,1,512,512,137.6843605041504,30.473438894591787,57.65205764770508,14047835338500900556
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160379766214088_1_jpeg_jpg.rf.862d9944f3e7f3ed6cddf94b1985c5b2.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160379766214088_1_jpeg_jpg.rf.862d9944f3e7f3ed6cddf94b1985c5b2.txt,f0ad7b51a70a42b40a6b08b2b92ad008fc50aed2,Telur Rebus,25,1,512,512,148.4503059387207,53.46257416385196,157.7403564453125,14721165497430609612
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160386598898180_0_jpeg_jpg.rf.23cae44c580a7444fef226cdca263815.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160386598898180_0_jpeg_jpg.rf.23cae44c580a7444fef226cdca263815.txt,12ab1e4016768581155017960fefc066e5475140,Telur Rebus,25,1,512,512,154.98519897460938,65.11557028105348,469.9517822265625,17909704232812748775
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160404750370711_0_jpg.rf.db27e238e68c235563e288a28bb29492.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160404750370711_0_jpg.rf.db27e238e68c235563e288a28bb29492.txt,04818fd299e4096292d9f69b09dd88bb91f1d4f6,Telur Rebus,25,1,512,512,182.43811416625977,48.282931618692544,874.099609375,17361523928187674168
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160406269753540_1_jpeg_jpg.rf.b62eaa634777f68c050633ac97137901.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160406269753540_1_jpeg_jpg.rf.b62eaa634777f68c050633ac97137901.txt,0873c5ad958b6b77f46c8a712ff75484aa2f54b5,Telur Rebus,25,1,512,512,147.60921478271484,44.68775921430924,353.9981994628906,13569049433331146396
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160418632693123_0_jpg.rf.a850bd43a2abfd16c718cab5ba11e854.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160418632693123_0_jpg.rf.a850bd43a2abfd16c718cab5ba11e854.txt,a72715214571f110b06e0b99c0169d13e3687a33,Telur Rebus,25,1,512,512,157.2085075378418,61.49475615518701,827.8396606445312,14737655066811862280
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160467407640163_1_jpg.rf.3e0723506eaa9e3faa3d57841b45babf.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160467407640163_1_jpg.rf.3e0723506eaa9e3faa3d57841b45babf.txt,b7c0220ccd254e672b5e2e46d10c1e6650b09fbf,Telur Rebus,25,1,512,512,148.46443557739258,50.76598442545958,188.04481506347656,17342909103685963327
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160517607638064_1_jpeg_jpg.rf.51fd4ae656afe389f674621a66f3e158.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160517607638064_1_jpeg_jpg.rf.51fd4ae656afe389f674621a66f3e158.txt,ca162fef663a098d47e1d436f28be3fdcb8e2730,Telur Rebus,25,1,512,512,138.53096771240234,52.89971290770476,157.16329956054688,11063529594396907993
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160542354257429_1_jpg.rf.729169e24c9884e09a486120b60605dc.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160542354257429_1_jpg.rf.729169e24c9884e09a486120b60605dc.txt,76156fb85a81414f8cfb9c7b98aae52608260c4c,Telur Rebus,25,1,512,512,144.20219039916992,49.75817828035452,150.207763671875,11626062824279199206
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160566039194087_0_jpeg_jpg.rf.6339d97f8b61e2743805c6037ad9bb34.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160566039194087_0_jpeg_jpg.rf.6339d97f8b61e2743805c6037ad9bb34.txt,999639be8a52f74aeea9b777cfd5ec8beac02be5,Telur Rebus,25,1,512,512,133.52947235107422,51.08681318398196,284.48480224609375,8244910714470058466
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160567347830439_1_jpeg_jpg.rf.44f7dd1417a17c8ac829d90f29d0e1b9.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160567347830439_1_jpeg_jpg.rf.44f7dd1417a17c8ac829d90f29d0e1b9.txt,5267233a0a3b7d8802ae6cef60f6940edcb238cd,Telur Rebus,25,1,512,512,108.78571319580078,50.1091447388937,68.0346908569336,8970708506504679231
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160576751533169_0_jpg.rf.9098e1e21bf1fd0537881b5823b4f1da.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160576751533169_0_jpg.rf.9098e1e21bf1fd0537881b5823b4f1da.txt,22a1d50bc8cb0059fb873f03ac321a2b8060b4bf,Telur Rebus,25,1,512,512,138.65556716918945,43.933645405032216,449.17694091796875,15975027309715968120
train,data_output\yolo_roboflow_only\images\train\09_092_09012001_160584730687813_0_jpeg_jpg.rf.e817f2bad25a65e7c940409f7f42b562.jpg,data_output\yolo_roboflow_only\labels\train\09_092_09012001_160584730687813_0_jpeg_jpg.rf.e817f2bad25a65e7c940409f7f42b562.txt,9d26f23bbb6ed7e4aa504ec5734f2d170eb0604c,Telur Rebus,25,1,512,512,157.88764190673828,49.90647841713726,104.70414733886719,6957532753176202361
