backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
DKI1742000543A1,ACTRAPID HM PENFILL,INSULIN HUMAN,antidiabetes,antidiabetes,Obat Keras,1,CAIRAN INJEKSI; 100 IU/ML,parenteral,kedaluwarsa,1,1
LKE13147017,ALAXAN,PARACETAMOL. IBUPROFEN,nsaid,nsaid,Khusus Ekspor,0,TABLET; 325 MG /200 MG,oral,aktif,1,1
DKL1222721904A1,ALIF 500,NAPROXEN SODIUM,nsaid,nsaid,Obat Keras,1,KAPLET,oral,aktif,1,1
DKL1806318331A1,ALLETROL COMPOSITUM,DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"SALEP MATA; 1,316 MG /5,175 MG /6000 IU",mata,aktif,1,1
DKL2206309746B1,ALLETROL COMPOSITUM FORTE,POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"TETES MATA; 10.000 IU /1,32 MG /5,18 MG",mata,aktif,1,1
GKL2613615210A1,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,ccb,Obat Keras,1,TABLET,oral,aktif,1,1
DKL2102907843A1,ANTITEN-A,ENOXAPARIN SODIUM,antikoagulan,antikoagulan,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
DKI0559201843A1,APIDRA,INSULIN GLULISINE,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI; 100 IU,parenteral,aktif,1,1
DKL2531552917A1,APIFAR,APIXABAN,antikoagulan,antikoagulan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
LKE26020034,ASPRO 300,COATED ASPIRIN,nsaid,nsaid,Khusus Ekspor,0,TABLET EFFERVESCENT,oral,aktif,1,1
DKL9609311615A1,ASTIKA,ACETYLSALICYLIC ACID,nsaid,nsaid,Obat Keras,1,TABLET SALUT ENTERIK,oral,aktif,1,1
DKI2297301467A1,ATECTURA BREEZHALER,INDACATEROL ACETATE | MOMETASONE FUROATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INHALER,oral,aktif,1,1
GKL2102506709C1,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,statin,statin,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
GKL1938202509A1,ATORVASTATIN CALCIUM TRIHYDRATE,ATORVASTATIN CALCIUM TRIHYDRATE,statin,statin,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKI2569600117A1,ATOZET,ATORVASTATIN CALCIUM TRIHYDRATE | EZETIMIBE,statin,statin,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI1863501217A1,ATOZET,ATORVASTATIN CALCIUM TRIHYDRATE. EZETIMIBE,statin,statin,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2191601556A1,AVAMYS,FLUTICASONE FUROATE,kortikosteroid,kortikosteroid,Obat Keras,1,SUSPENSI,oral,aktif,1,1
DKL9102002129A1,BAYCUTEN-N,CLOTRIMAZOLE. DEXAMETHASONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
LKE24186003,BEMETHA TABLET 0.5 MG,BETAMETHASONE,kortikosteroid,kortikosteroid,Khusus Ekspor,0,TABLET; 0.5 MG,oral,aktif,1,1
DKL9602322929A1,BENOSON M,BETAMETHASONE VALERATE | MICONAZOLE NITRATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
