food_class,food_lookup_key,ingredients,food_id,nutrition_key,food_name,nutrition_status
apel,apel,minyak zaitun|madu|bawang bombay|cuka apel|apel|mayonnaise|mustard|wortel|keju cheddar|minyak salad|telur rebus|salad dressing|susu kental manis|timun,19.0,Apel,Apel,MATCHED
asinan-jakarta,asinan jakarta,gula merah|kacang tanah goreng|gula pasir|kol|wortel|cuka|tauge|bawang putih|cabai rawit|toge|ebi sangrai|asam jawa|cabai merah besar|kacang tanah|daun selada,,,,NOT_MATCHED
ayam-betutu,ayam betutu,bawang putih|bawang merah|serai|kunyit|kemiri|cabai rawit|terasi|jahe|daun jeruk|kencur|lengkuas|lada|ketumbar|ayam|daun salam,,,,NOT_MATCHED
ayam-bumbu-rujak,ayam bumbu rujak,bawang putih|bawang merah|daun jeruk|kemiri|serai|daun salam|santan|jahe|cabai merah keriting|lengkuas|kunyit|lada bubuk|cabai merah|cabai rawit|cabai rawit merah,,,,NOT_MATCHED
ayam-goreng,ayam goreng,bawang putih|tepung maizena|lada bubuk|penyedap rasa|tepung terigu|lada|tomat|cabai|kecap asin|baking powder|kaldu jamur|ketumbar|bawang putih bubuk|asam jawa|gula jawa,,,,NOT_MATCHED
ayam-goreng-lengkuas,ayam goreng lengkuas,bawang putih|bawang merah|serai|daun salam|daun jeruk|ayam|kemiri|lengkuas|lengkuas muda|kunyit|jahe|ketumbar|lada bubuk|lada|telur,,,,NOT_MATCHED
bakso,bakso,bawang putih|bawang merah|saus tiram|bakso|lada bubuk|daun bawang|kecap manis|wortel|lada|gula pasir|telur,64.0,Bakso,Bakso,MATCHED
bika-ambon,bika ambon,santan|gula pasir|tepung terigu|tepung tapioka|ragi|daun jeruk|telur|susu kental manis|margarin|daun pandan|serai|kunyit bubuk|butter,145.0,Bika ambon,Bika ambon,MATCHED
bir-pletok,bir pletok,kayu secang|kapulaga|jahe|cengkeh|serai|daun pandan|kayu manis|gula pasir|lada hitam|bunga lawang|daun jeruk|cengkih|pala|kayumanis|lada,,,,NOT_MATCHED
biskuit-choco-chips,biskuit choco chips,tepung terigu|telur|baking soda|choco chips|gula halus|baking powder|gula aren|margarin|tepung maizena|butter|mentega|vanilla,,,,NOT_MATCHED
bubur-manado,bubur manado,serai|daun salam|labu kuning|kangkung|daun jeruk|bayam|daun kemangi|bawang putih|kemangi|lada|jagung|jagung manis|bawang merah|daun bawang|jagung manis pipil,,,,NOT_MATCHED
burger,burger,tepung terigu|telur|margarin|mayonnaise|ragi|lada bubuk|bawang bombay|tomat|kecap inggris|daging giling|daun selada|ground flaxseed|sourdough discard|paprika bubuk|wheat bran,,,,NOT_MATCHED
capcay,capcay,saus tiram|bawang putih|wortel|lada bubuk|sawi putih|sawi hijau|kaldu jamur|tepung maizena|ayam fillet|daun bawang|bawang bombay|bakso sapi|kol|minyak wijen|sosis,,,,NOT_MATCHED
cendol,cendol,daun pandan|gula pasir|susu kental manis|santan|tepung tapioka|tepung beras|gula aren|tepung maizena|gula merah,,,,NOT_MATCHED
donat,donat,margarin|ragi|tepung terigu|telur|gula pasir|susu bubuk|gula halus|tepung maizena|susu cair dingin|bread improver,,,,NOT_MATCHED
es-dawet,es dawet,daun pandan|santan|gula pasir|susu kental manis|gula merah|dawet|tepung beras|gula aren|selasih|tepung tapioka,,,,NOT_MATCHED
gado-gado,gado gado,bawang putih|gula merah|telur rebus|kacang tanah|kentang|timun|wortel|kacang panjang|tauge|cabai rawit|kecap manis|daun jeruk|tahu goreng,356.0,Gado-gado,Gado-gado,MATCHED
gudeg,gudeg,bawang merah|bawang putih|daun salam|nangka muda|santan|kemiri|ketumbar|telur|serai|lengkuas|jahe|ayam|gula merah|daun singkong|daun jeruk,388.0,Gudeg,Gudeg,MATCHED
gulai-ikan-mas,gulai ikan mas,serai|bawang putih|bawang merah|jahe|kunyit|daun salam|daun jeruk|daun kunyit|lengkuas|asam kandis|kemiri|cabai rawit merah|ikan mas|santan|kaldu jamur,,,,NOT_MATCHED
ikan-goreng,ikan goreng,tepung terigu|bawang putih|tepung maizena|bawang merah|bawang bombay|baking powder|kaldu jamur|cuka|gula pasir|jahe|tomat,,,,NOT_MATCHED
keladi,keladi,bawang putih|tepung beras|keladi|lada|kaldu jamur|tepung terigu|gula pasir|saus tiram|daging ayam|talas|bawang merah|telur,,,,NOT_MATCHED
kentang-goreng,kentang goreng,kentang|lada|bawang putih|tepung maizena|tepung bumbu serbaguna|lada bubuk|kentang ukuran sedang|bawang putih bubuk|kentang agak besar,,,,NOT_MATCHED
kerak-telor,kerak telor,bawang goreng|telur|gula pasir|kelapa|kencur|ebi|beras ketan|cabai merah besar|bawang merah|jahe|cabai merah keriting|serundeng kelapa,,,,NOT_MATCHED
kiwi,kiwi,kiwi,,,,NOT_MATCHED
klappertart,klappertart,telur|gula pasir|kismis|tepung maizena|susu kental manis|tepung terigu|daging kelapa muda|susu cair|kayu manis bubuk|air kelapa muda|kelapa muda|margarin|tepung custard|bubuk kayu manis|susu full cream / uht,,,,NOT_MATCHED
kolak,kolak,daun pandan|gula pasir|santan|gula merah|labu kuning|ubi jalar|gula aren|pisang kepok,,,,NOT_MATCHED
kue-lumpur,kue lumpur,tepung terigu|telur|gula pasir|santan|vanili|margarin,800.0,Kue lumpur,Kue lumpur,MATCHED
kunyit-asam,kunyit asam,kunyit|gula pasir|asam jawa|gula merah|gula aren|asam|kunyit bubuk|serai|jahe,,,,NOT_MATCHED
laksa-bogor,laksa bogor,serai|daun salam|bawang putih|bawang merah|telur rebus|bihun|kunyit|daun bawang|kemiri|daun kemangi|gula pasir|ketumbar|bawang goreng|lengkuas|lada bubuk,,,,NOT_MATCHED
lumpia-semarang,lumpia semarang,bawang putih|gula pasir|kecap manis|bawang merah|cabai rawit|gula merah|tepung terigu|lada bubuk|tepung maizena|cuka|mentimun|minyak sayur|saus tiram|tepung beras|rebung,,,,NOT_MATCHED
mie-aceh,mie aceh,bawang merah|kecap manis|bawang putih|gula pasir|bubuk kari|tomat|cabai merah keriting|sosis|spaghetti|kemiri sangrai|udang|kol|daun bawang|kecap asin|kemiri,,,,NOT_MATCHED
mie-goreng,mie goreng,bawang putih|bawang merah|telur|kecap manis|lada bubuk|saus tiram|daun bawang|kemiri|kecap asin|wortel,898.0,Mie Goreng,Mie Goreng,MATCHED
nagasari,nagasari,gula pasir|santan|tepung beras|tepung tapioka|susu kental manis|daun pandan|tepung maizena|pasta pandan|daun pisang,,,,NOT_MATCHED
nanas,nanas,nanas|wortel|tomat|timun|gula pasir|bawang putih,916.0,Nanas,Nanas,MATCHED
nasi-goreng,nasi goreng,bawang putih|bawang merah|telur|kecap manis|saus tiram|daun bawang|lada bubuk|kecap asin|nasi putih|lada,924.0,Nasi Goreng,Nasi Goreng,MATCHED
nasi-putih,nasi putih,bawang putih|kangkung|bawang merah|tempe|nasi putih|cabai rawit|kecap manis|tomat|wortel,,,,NOT_MATCHED
nugget,nugget,telur|tepung terigu|lada|tepung roti|tepung tapioka|bawang putih|kaldu jamur|lada bubuk|bawang goreng|bawang bombay|bawang merah|wortel|tepung panir|minyak wijen|pala bubuk,,,,NOT_MATCHED
papeda,papeda,tepung tapioka|bawang putih|bawang merah|gula pasir|telur|serai|gula merah,960.0,Papeda,Papeda,MATCHED
pempek,pempek,bawang putih|tepung tapioka|telur|gula pasir|tepung terigu|bawang merah|kaldu ayam bubuk|gula merah|kaldu jamur|ebi|santan|lada bubuk,,,,NOT_MATCHED
pisang,pisang,tepung terigu|gula pasir|tepung beras|vanili|tepung maizena|pisang|susu kental manis|margarin|keju,,,,NOT_MATCHED
pizza,pizza,margarin|gula pasir|keju mozzarella|bawang bombay|ragi|keju cheddar|bawang putih|tepung terigu|sosis|roti tawar|oregano|lada bubuk|telur|keju|saus tomat,,,,NOT_MATCHED
rawon-surabaya,rawon surabaya,daun jeruk|serai|bawang putih|daun bawang|daun salam|jahe|kunyit|lengkuas|kemiri|bawang merah|ketumbar bubuk|kluwek|ketumbar|daging sapi|bawang goreng,,,,NOT_MATCHED
rendang,rendang,bawang putih|bawang merah|serai|daun salam|daun jeruk|santan|lengkuas|jahe|daging sapi|kemiri|daun kunyit|ketumbar,,,,NOT_MATCHED
rujak-cingur,rujak cingur,bawang putih|cabai rawit|gula merah|cingur sapi|timun|tempe|kangkung|kacang tanah goreng|kacang tanah|tempe goreng|kangkung rebus|petis|tahu putih|tauge rebus|terasi,1053.0,Rujak cingur,Rujak cingur,MATCHED
sate-ayam-madura,sate ayam madura,kecap manis|bawang putih|bawang merah|kemiri|kacang tanah|lada bubuk|kecap|gula merah|kacang tanah goreng|daun jeruk|bawang goreng|dada ayam fillet|cabai merah keriting|cabai merah|ketumbar bubuk,,,,NOT_MATCHED
sate-lilit,sate lilit,daun jeruk|bawang putih|bawang merah|kelapa|jahe|kemiri|kunyit|telur|santan|lada|cabai merah|serai|kencur|kunyit bubuk|lengkuas,,,,NOT_MATCHED
sate-maranggi,sate maranggi,kecap manis|bawang merah|bawang putih|gula merah|lada bubuk|jeruk limau|cabai rawit|lengkuas|ketumbar sangrai|jahe|jeruk nipis|sambal tomat|sambal kecap|tomat ukuran besar|ayam fillet,,,,NOT_MATCHED
sate-umum,sate umum,kecap manis|bawang putih|bawang merah|lada bubuk|jahe|ketumbar|kemiri|gula merah|ayam fillet|jeruk nipis|gula pasir|ketumbar bubuk|dada ayam|timun|wortel,,,,NOT_MATCHED
soerabi,soerabi,santan|gula pasir|tepung beras|daun pandan|ragi|telur|tepung tapioka|baking powder|tepung terigu|keju|tepung maizena|nangka|gula merah|vanili|serabi,,,,NOT_MATCHED
soto-ayam,soto ayam,bawang putih|bawang merah|serai|daun jeruk|daun salam|jahe|daun bawang|kemiri|bawang goreng|jeruk nipis|kunyit|ayam|lada bubuk|seledri|lengkuas,,,,NOT_MATCHED
soto-banjar,soto banjar,bawang putih|bawang merah|kapulaga|cengkeh|seledri|kayu manis|ayam|bunga lawang|jahe|daun bawang|kemiri|lada bubuk|soun|pala bubuk|telur rebus,,,,NOT_MATCHED
spaghetti,spaghetti,bawang putih|spaghetti|bawang bombay|tomat|keju cheddar|saus tomat|tepung maizena|bawang merah|bakso sapi|keju|lada bubuk|lada hitam|oregano kering|minyak zaitun|lada,1165.0,Spaghetti,Spaghetti,MATCHED
steak,steak,bawang putih|minyak zaitun|lada|lada bubuk|kecap manis|daging sapi|kecap asin|butter,,,,NOT_MATCHED
stroberi,stroberi,stroberi|gula pasir|madu,,,,NOT_MATCHED
tahu-goreng,tahu goreng,bawang putih|tahu|tepung terigu|lada bubuk|bawang bombay|tahu putih|bawang merah|kecap manis|lengkuas|daun bawang,1187.0,Tahu goreng,Tahu goreng,MATCHED
tahu-telur,tahu telur,telur|bawang putih|daun salam|bawang merah|lada bubuk|kecap manis|tahu putih|daun bawang|seasoning|ketumbar bubuk|tahu,1188.0,Tahu telur,Tahu telur,MATCHED
telur-goreng,telur goreng,bawang putih|telur|margarin|bawang merah|tepung bumbu serbaguna|gula pasir|telur puyuh|saus tiram|lada|lada hitam bubuk|cabai rawit|saus sambal|bawang bombai|tahu kuning|kecap inggris,,,,NOT_MATCHED
telur-rebus,telur rebus,telur|bawang putih|telur rebus|bawang merah|cabai rawit|tepung terigu|lengkuas|bawang bombay|margarin|saus tiram|cabai keriting|saus sambal|gula merah|tomat,,,,NOT_MATCHED
tempe-goreng,tempe goreng,tempe|bawang putih|tepung terigu|margarin|ketumbar bubuk|bawang merah|telur|daun bawang|kunyit bubuk|ketumbar|tepung beras,1234.0,Tempe Goreng,Tempe Goreng,MATCHED
terong-balado,terong balado,bawang merah|bawang putih|daun salam|kemiri|tomat|cabai rawit|gula merah|daun jeruk|terong|cabai merah keriting|terong ungu|cabai merah besar|cabai keriting|gula pasir,,,,NOT_MATCHED
tumis-kangkung,tumis kangkung,bawang putih|bawang merah|saus tiram|kangkung|gula pasir|cabai rawit|cabai merah|kecap manis|penyedap rasa|terasi|tomat,,,,NOT_MATCHED
