nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
GKL1412427843A1,131I-MIBG,METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION,['METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION'],UNKNOWN,,0
GKL1612428843A1,153SM-EDTMP,SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE,['SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE'],UNKNOWN,,0
DKI1733900317A1,3TC-HBV,LAMIVUDINE,['LAMIVUDINE'],UNKNOWN,,0
GKL2012431917A1,ABACAVIR SULFATE,ABACAVIR SULFATE,['ABACAVIR SULFATE'],UNKNOWN,,0
DBL9818209901A1,ABAJOS,PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,['PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN'],UNKNOWN,,0
DKI2118603810A1,ABIRONE,ABIRATERONE ACETATE,['ABIRATERONE ACETATE'],UNKNOWN,,0
DKI2486102344A1,ABRYSVO,RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN | RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN,"['RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN', 'RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN']",UNKNOWN,,0
DKL2041700949A1,ACETAR-MJB,SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE,['SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE'],UNKNOWN,,0
DBL7817604533A1,ACITRAL,SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,['SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE'],UNKNOWN,,0
DKL2517635429A1,ACNEDINE,NADIFLOXACIN,['NADIFLOXACIN'],antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,1
DKI1031700749A1,ACTABONE,CLODRONATE DISODIUM TETRAHYDRATE,['CLODRONATE DISODIUM TETRAHYDRATE'],UNKNOWN,,0
DBL2232210210A1,ACTAL,KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,['DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND'],UNKNOWN,,0
DBL2232210310A1,ACTAL PLUS,SIMETHICONE. MAGNESIUM HYDROXIDE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,['SIMETHICONE. MAGNESIUM HYDROXIDE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND'],UNKNOWN,,0
DKI2157509549A1,ACTEMRA,TOCILIZUMAB,['TOCILIZUMAB'],UNKNOWN,,0
DTL1624504137A1,ACTIFED PLUS COUGH SUPRESSANT,TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE,['TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE'],UNKNOWN,,0
DKI2452504344A1,ACTILYSE,ALTEPLASE,['ALTEPLASE'],UNKNOWN,,0
DKI2153900417A1,ACTONEL ONCE-A-WEEK,RISEDRONATE SODIUM,['RISEDRONATE SODIUM'],UNKNOWN,,0
DKI1742000543A1,ACTRAPID HM PENFILL,INSULIN HUMAN,['INSULIN HUMAN'],antidiabetes,antidiabetes,1
DKI2571100143A1,ADAFIMAB,ADALIMUMAB,['ADALIMUMAB'],UNKNOWN,,0
DKI2186002343A1,AERINEX,ERENUMAB,['ERENUMAB'],UNKNOWN,,0
DKI0987101714A1,AERIUS D-12,PSEUDOEPHEDRINE SULFATE. DESLORATADINE,[],UNKNOWN,,0
DKI2570800339A1,AEROBIDOL,FENOTEROL HYDROBROMIDE | IPRATROPIUM BROMIDE MONOHYDRATE,"['FENOTEROL HYDROBROMIDE', 'IPRATROPIUM BROMIDE MONOHYDRATE']",UNKNOWN,,0
DKI2418605517A1,AFATIN,AFATINIB DIMALEATE,['AFATINIB DIMALEATE'],UNKNOWN,,0
DKI2556300517A1,AFATYK 20,AFATINIB DIMALEATE MONOHYDRATE,['AFATINIB DIMALEATE MONOHYDRATE'],UNKNOWN,,0
DKL2028406649A1,AHEP,METHIONINE. PHENYLALANINE. THREONINE. VALINE. ARGININE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. SORBITOL. HISTIDINE. GLUTAMIC,['METHIONINE. PHENYLALANINE. THREONINE. VALINE. ARGININE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. SORBITOL. HISTIDINE. GLUTAMIC'],UNKNOWN,,0
DKL2028406649A2,AHEP,SORBITOL. XYLITOL. METHIONINE. ORNITHINE ASPARTATE. ACETYLCYSTEINE. GLYCINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. LYSINE MALATE. ISOLEUCINE. LEUCINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE,['SORBITOL. XYLITOL. METHIONINE. ORNITHINE ASPARTATE. ACETYLCYSTEINE. GLYCINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. LYSINE MALATE. ISOLEUCINE. LEUCINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE'],UNKNOWN,,0
DTL2022304046A1,AITO,TETRAHYDROZOLINE HYDROCHLORIDE,['TETRAHYDROZOLINE HYDROCHLORIDE'],UNKNOWN,,0
DKI1751900401A1,AKYNZEO,NETUPITANT. PALONOSETRON HYDROCHLORIDE,['NETUPITANT. PALONOSETRON HYDROCHLORIDE'],UNKNOWN,,0
LKE13147017,ALAXAN,PARACETAMOL. IBUPROFEN,['PARACETAMOL. IBUPROFEN'],nsaid,nsaid,1
GKL0920936233A1,ALBENDAZOLE,ALBENDAZOLE,['ALBENDAZOLE'],UNKNOWN,,0
DKL2410710846A1,ALBUCID,SULFACETAMIDE SODIUM,['SULFACETAMIDE SODIUM'],UNKNOWN,,0
DKI1509300849A1,ALBUNORM 20%,HUMAN ALBUMIN,['HUMAN ALBUMIN'],UNKNOWN,,0
DTL0317619237A1,ALCO FLU,BROMPHENIRAMINE MALEATE | PSEUDOEPHEDRINE HYDROCHLORIDE,"['BROMPHENIRAMINE MALEATE', 'PSEUDOEPHEDRINE HYDROCHLORIDE']",UNKNOWN,,0
DTL0317619337A1,ALCO FLU PLUS BATUK,BROMPHENIRAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | PSEUDOEPHEDRINE HYDROCHLORIDE,"['BROMPHENIRAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'PSEUDOEPHEDRINE HYDROCHLORIDE']",UNKNOWN,,0
DKL0522240003A1,ALDISA SR,KOMBINASI-PSEUDOEPHEDRINE SULFATE SUSTAINED RELEASE PELLETS | LORATADINE | PSEUDOEPHEDRINE SULFATE,"['PSEUDOEPHEDRINE SULFATE SUSTAINED RELEASE PELLETS', 'LORATADINE', 'PSEUDOEPHEDRINE SULFATE']",UNKNOWN,,0
DKI2157510201A1,ALECENSA,ALECTINIB HYDROCHLORIDE,['ALECTINIB HYDROCHLORIDE'],UNKNOWN,,0
DKI2167601646A1,ALEGYSAL,PEMIROLAST POTASSIUM,['PEMIROLAST POTASSIUM'],UNKNOWN,,0
DKL9708007710A1,ALERFED,PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE,[],UNKNOWN,,0
DKL1222721904A1,ALIF 500,NAPROXEN SODIUM,['NAPROXEN SODIUM'],nsaid,nsaid,1
DKI2588803580A1,ALIMTA,PEMETREXED DISODIUM HEPTAHYDRATE,['PEMETREXED DISODIUM HEPTAHYDRATE'],UNKNOWN,,0
DTL1504522837A1,ALLERIN EXPECTORANT,PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN,['PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN'],UNKNOWN,,0
