backend_drug_id,nomor_registrasi,nama_produk,komposisi,komposisi_normalized,list_zat_aktif,jumlah_zat_aktif,drug_category,all_drug_categories,kategori_interaksi_obat,siap_cek_interaksi,kategori_obat_bpom,golongan_obat,perlu_resep,perlu_konfirmasi_apoteker,bentuk_sediaan,kelompok_bentuk_sediaan,rute_penggunaan_hint,kemasan,pendaftar,perusahaan,negara_asal,tanggal_terbit,masa_berlaku_sd,status_bpom,status_masa_berlaku,sisa_hari_berlaku,jumlah_varian_kemasan,category_match_source,category_match_pattern,category_source
DKI1742000543A1,DKI1742000543A1,ACTRAPID HM PENFILL,INSULIN HUMAN,INSULIN HUMAN,['INSULIN HUMAN'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,CAIRAN INJEKSI; 100 IU/ML,injeksi,parenteral,"DUS, 5 CARTRIDGE @ 3 ML",BETA PHARMACON - Indonesia,BETA PHARMACON,Indonesia,2019-05-23,2024-05-23,Berlaku,kedaluwarsa,-743,1,drug_name_category_lookup.csv,INSULIN,curated_rule
LKE13147017,LKE13147017,ALAXAN,PARACETAMOL. IBUPROFEN,PARACETAMOL. IBUPROFEN,['PARACETAMOL. IBUPROFEN'],1,nsaid,nsaid,nsaid,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET; 325 MG /200 MG,tablet,oral,"DUS, 50 BLISTER @ 10 TABLET ;; DUS, 10 BLISTER @ 10 TABLET ;; DUS, 1 BLISTER @ 10 TABLET",MEDIFARMA LABORATORIES - Indonesia,MEDIFARMA LABORATORIES,Indonesia,2023-05-15,2028-05-15,Berlaku (Khusus Ekspor),aktif,710,3,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DKL1222721904A1,DKL1222721904A1,ALIF 500,NAPROXEN SODIUM,NAPROXEN SODIUM,['NAPROXEN SODIUM'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET,kaplet,oral,"DUS, 10 STRIP @ 10 KAPLET",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2026-03-31,2031-03-31,Berlaku,aktif,1760,1,drug_name_category_lookup.csv,NAPROXEN,curated_rule
DKL1806318331A1,DKL1806318331A1,ALLETROL COMPOSITUM,DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,['DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"SALEP MATA; 1,316 MG /5,175 MG /6000 IU",salep,mata,"DUS, 1 TUBE @ 3,5 G",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2024-07-01,2028-11-27,Berlaku,aktif,906,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKL2206309746B1,DKL2206309746B1,ALLETROL COMPOSITUM FORTE,POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE,POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE,['POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"TETES MATA; 10.000 IU /1,32 MG /5,18 MG",tetes,mata,"DUS, 1 BOTOL PLASTIK @ 5 ML",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2022-11-01,2027-11-01,Berlaku,aktif,514,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
GKL2613615210A1,GKL2613615210A1,AMLODIPINE BESILATE,AMLODIPINE BESILATE,AMLODIPINE BESILATE,['AMLODIPINE BESILATE'],1,ccb,ccb,ccb,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET",LUCAS DJAJA - Indonesia,LUCAS DJAJA,Indonesia,2026-04-20,2031-04-20,Berlaku,aktif,1780,1,drug_name_category_lookup.csv,AMLODIPINE,curated_rule
DKL2102907843A1,DKL2102907843A1,ANTITEN-A,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,['ENOXAPARIN SODIUM'],1,antikoagulan,antikoagulan,antikoagulan,1,Obat Keras - Lokal,Obat Keras,1,1,INJEKSI,injeksi,parenteral,"DUS, 2 PREFILLED SYRINGE @ 0,4 ML + 2 NEEDLES ;; DUS, 2 PREFILLED SYRINGE @ 0,6 ML + 2 NEEDLES ;; DUS, 2 PREFILLED SYRINGE @ 1 ML + 2 NEEDLES",BIO FARMA - Indonesia,BIO FARMA,Indonesia,2025-09-12,2030-09-12,Berlaku,aktif,1560,3,drug_name_category_lookup.csv,ENOXAPARIN,curated_rule
DKI0559201843A1,DKI0559201843A1,APIDRA,INSULIN GLULISINE,INSULIN GLULISINE,['INSULIN GLULISINE'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,LARUTAN INJEKSI; 100 IU,injeksi,parenteral,"DUS, 1 VIAL @ 10 ML",KALVENTIS SINERGI FARMA - Indonesia,KALVENTIS SINERGI FARMA,Indonesia,2022-12-28,2027-12-28,Berlaku,aktif,571,1,drug_name_category_lookup.csv,INSULIN,curated_rule
DKL2531552917A1,DKL2531552917A1,APIFAR,APIXABAN,APIXABAN,['APIXABAN'],1,antikoagulan,antikoagulan,antikoagulan,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",PRATAPA NIRMALA - Indonesia,PRATAPA NIRMALA,Indonesia,2025-12-31,2030-12-31,Berlaku,aktif,1670,1,drug_name_category_lookup.csv,APIXABAN,curated_rule
LKE26020034,LKE26020034,ASPRO 300,KOMBINASI-COATED ASPIRIN,COATED ASPIRIN,['COATED ASPIRIN'],1,nsaid,nsaid,nsaid,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET EFFERVESCENT,tablet,oral,"DUS, 4 STRIP @ 6 TABLET EFFERVESCENT ;; DUS, 10 STRIP @ 6 TABLET EFFERVESCENT",BAYER INDONESIA - Indonesia,BAYER INDONESIA,Indonesia,2026-02-13,2031-02-13,Berlaku,aktif,1714,2,drug_name_category_lookup.csv,ASPIRIN,curated_rule
