Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Sisa_Hari_Berlaku,List_Zat_Aktif,Jumlah_Varian_Kemasan,Komposisi_Normalized
GKL1412427843A1,131I-MIBG,METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION,CAIRAN INJEKSI; 2 MG /10-20 MCI,"DUS, @ 1 VIAL",KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2019-11-29,2024-11-29,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,True,-553,['METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION'],1,METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION
GKL1612428843A1,153SM-EDTMP,SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE,LARUTAN INJEKSI; 300-900 MCI /300 MG,DUS @ 1 VIAL,KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2021-04-22,2026-04-22,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,True,-44,['SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE'],1,SAMARIUM III CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE
DKI1733900317A1,3TC-HBV,LAMIVUDINE,TABLET SALUT SELAPUT; 100 MG,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2023-07-07,2028-07-07,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,763,['LAMIVUDINE'],1,LAMIVUDINE
GKL2012431917A1,ABACAVIR SULFATE,ABACAVIR SULFATE,TABLET SALUT SELAPUT,"DUS, 1 BOTOL PLASTIK @ 60 TABLET SALUT SELAPUT",KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2025-10-20,2030-10-20,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1598,['ABACAVIR SULFATE'],1,ABACAVIR SULFATE
DBL9818209901A1,ABAJOS,PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,KAPSUL; 500 MG /50 MG /100 MG /0.1 MG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPSUL",NUFARINDO - Indonesia,NUFARINDO,Indonesia,2021-09-20,2026-09-06,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,93,['PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN'],1,PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN
DKI2118603810A1,ABIRONE,ABIRATERONE ACETATE,TABLET,"DUS, 1 BOTOL PLASTIK @ 120 TABLET",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2026-03-16,2031-03-16,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1745,['ABIRATERONE ACETATE'],1,ABIRATERONE ACETATE
DKI2486102344A1,ABRYSVO,RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN | RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN,SERBUK INJEKSI + PELARUT,"DUS, 1 VIAL 120 MCG + 1 PRE-FILLED SYRINGE 0.5 ML + 1 VIAL ADAPTOR + 1 NEEDLE ;; DUS, 5 VIAL 120 MCG + 5 PRE-FILLED SYRINGE 0.5 ML + 5 VIAL ADAPTOR + 5 NEEDLE",PFIZER INDONESIA - Indonesia,PFIZER INDONESIA,Indonesia,2025-10-02,2029-12-09,Berlaku,Obat Keras - Impor,Obat Keras,Impor,2,4.2,False,1283,"['RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN', 'RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN']",2,RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN | RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN
DKL2041700949A1,ACETAR-MJB,SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE,"INFUS; 3 G /0,15 G /0,10 G /1,90 G",BOTOL PLASTIK @ 500 ML ;; 1 BOTOL PLASTIK @ 500 ML,EMJEBE PHARMA - Indonesia,EMJEBE PHARMA,Indonesia,2022-11-13,2027-11-13,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,526,['SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE'],2,SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE
DBL7817604533A1,ACITRAL,SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,SUSPENSI; 80 MG /200 MG,"DUS, 1 BOTOL @ 120 ML",INTERBAT - Indonesia,INTERBAT,Indonesia,2023-10-21,2028-10-21,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,869,['SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE'],1,SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE
DKL2517635429A1,ACNEDINE,NADIFLOXACIN,KRIM,"DUS, 1 TUBE @ 10 GRAM",INTERBAT - Indonesia,INTERBAT,Indonesia,2025-12-22,2030-12-22,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1661,['NADIFLOXACIN'],1,NADIFLOXACIN
DKI1031700749A1,ACTABONE,CLODRONATE DISODIUM TETRAHYDRATE,LARUTAN KONSENTRAT UNTUK INFUS; 75 MG,"DUS, 1 VIAL @ 5 ML",ACTAVIS INDONESIA - Indonesia,ACTAVIS INDONESIA,Indonesia,2020-02-04,2025-02-04,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,True,-486,['CLODRONATE DISODIUM TETRAHYDRATE'],1,CLODRONATE DISODIUM TETRAHYDRATE
DBL2232210210A1,ACTAL,KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,TABLET; 360 MG,"DUS, 2 BLISTER @ 10 TABLET ;; DUS, 12 BLISTER @ 10 TABLET",MENARINI INDRIA LABORATORIES - Indonesia,MENARINI INDRIA LABORATORIES,Indonesia,2022-05-12,2027-05-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,341,['DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND'],2,DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND
